ADMIN1_ID,ADMIN1_NAME
DOM.27_1,San Pedro de Macorís
DOM.28_1,Sánchez Ramírez
DOM.30_1,Santiago
DOM.29_1,Santiago Rodríguez
DOM.31_1,Santo Domingo
DOM.32_1,Valverde
DZA.1_1,Adrar
DZA.2_1,Aïn Defla
DZA.3_1,Aïn Témouchent
DZA.4_1,Alger
DZA.5_1,Annaba
DZA.6_1,Batna
DZA.7_1,Béchar
DZA.8_1,Béjaïa
DZA.9_1,Biskra
DZA.10_1,Blida
DZA.11_1,Bordj Bou Arréridj
DZA.12_1,Bouira
DZA.13_1,Boumerdès
DZA.14_1,Chlef
DZA.15_1,Constantine
DZA.16_1,Djelfa
DZA.17_1,El Bayadh
DZA.18_1,El Oued
DZA.19_1,El Tarf
DZA.20_1,Ghardaïa
DZA.21_1,Guelma
DZA.22_1,Illizi
DZA.23_1,Jijel
DZA.24_1,Khenchela
DZA.25_1,Laghouat
DZA.26_1,M'Sila
DZA.27_1,Mascara
DZA.28_1,Médéa
DZA.29_1,Mila
DZA.30_1,Mostaganem
DZA.31_1,Naâma
DZA.32_1,Oran
DZA.33_1,Ouargla
DZA.34_1,Oum el Bouaghi
DZA.35_1,Relizane
DZA.36_1,Saïda
DZA.37_1,Sétif
DZA.38_1,Sidi Bel Abbès
DZA.39_1,Skikda
DZA.40_1,Souk Ahras
DZA.41_1,Tamanghasset
DZA.42_1,Tébessa
DZA.43_1,Tiaret
DZA.44_1,Tindouf
DZA.45_1,Tipaza
DZA.46_1,Tissemsilt
DZA.47_1,Tizi Ouzou
DZA.48_1,Tlemcen
ECU.1_1,Azuay
ECU.2_1,Bolivar
ECU.3_1,Cañar
ECU.4_1,Carchi
ECU.5_1,Chimborazo
ECU.6_1,Cotopaxi
ECU.7_1,El Oro
ECU.8_1,Esmeraldas
ECU.9_1,Galápagos
ECU.10_1,Guayas
ECU.11_1,Imbabura
ECU.12_1,Loja
ECU.13_1,Los Rios
ECU.14_1,Manabi
ECU.15_1,Morona Santiago
ECU.16_1,Napo
ECU.17_1,Orellana
ECU.18_1,Pastaza
ECU.19_1,Pichincha
ECU.20_1,Santa Elena
ECU.21_1,Santo Domingo de los Tsachilas
ECU.22_1,Sucumbios
ECU.23_1,Tungurahua
ECU.24_1,Zamora Chinchipe
EGY.1_1,Ad Daqahliyah
EGY.2_1,Al Bahr al Ahmar
EGY.3_1,Al Buhayrah
EGY.4_1,Al Fayyum
EGY.5_1,Al Gharbiyah
EGY.6_1,Al Iskandariyah
EGY.7_1,Al Isma`iliyah
EGY.8_1,Al Jizah
EGY.9_1,Al Minufiyah
EGY.10_1,Al Minya
EGY.11_1,Al Qahirah
EGY.12_1,Al Qalyubiyah
EGY.13_1,Al Uqsur
EGY.14_1,Al Wadi al Jadid
EGY.15_1,As Suways
EGY.16_1,Ash Sharqiyah
EGY.17_1,Aswan
EGY.18_1,Asyut
EGY.19_1,Bani Suwayf
